city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count,id
Lubbock,Texas,29.2,122320.0,126731.0,249051,10588.0,14226.0,2.61,TX,Hispanic or Latino,90706,146028888077
Odessa,Texas,31.2,61119.0,57861.0,118980,5509.0,15845.0,2.92,TX,Hispanic or Latino,63586,146028888078
Austin,Texas,32.7,475718.0,456122.0,931840,37414.0,181686.0,2.5,TX,American Indian and Alaska Native,10890,146028888079
Fontana,California,29.5,100644.0,106828.0,207472,4076.0,61448.0,4.15,CA,American Indian and Alaska Native,2656,154618822656
Cheektowaga,New York,40.7,37476.0,38599.0,76075,5408.0,3532.0,2.3,NY,White,63541,154618822657
Des Moines,Iowa,34.5,103726.0,106591.0,210317,11780.0,23857.0,2.41,IA,Hispanic or Latino,25306,154618822658
Conroe,Texas,31.5,34907.0,33685.0,68592,4871.0,13839.0,2.65,TX,White,57480,154618822659
Temple,Texas,33.6,33512.0,38785.0,72297,7333.0,3968.0,2.59,TX,American Indian and Alaska Native,1615,154618822660
Columbia,Maryland,37.9,52202.0,51265.0,103467,6526.0,23249.0,2.68,MD,White,58343,154618822661
Redwood City,California,37.1,42676.0,42624.0,85300,2430.0,27652.0,2.64,CA,American Indian and Alaska Native,664,154618822662
New Haven,Connecticut,29.9,63765.0,66545.0,130310,2567.0,25871.0,2.48,CT,White,56251,154618822663
Folsom,California,40.9,41051.0,35317.0,76368,4187.0,13234.0,2.62,CA,Asian,15569,154618822664
Merced,California,29.7,40048.0,42392.0,82440,3723.0,16348.0,3.15,CA,White,42475,154618822665
Brockton,Massachusetts,35.2,46273.0,49041.0,95314,3036.0,27313.0,2.88,MA,Asian,2528,154618822666
Somerville,Massachusetts,31.0,41028.0,39306.0,80334,2103.0,22292.0,2.43,MA,American Indian and Alaska Native,374,154618822667
O'Fallon,Missouri,36.0,41762.0,43270.0,85032,5783.0,3269.0,2.77,MO,Hispanic or Latino,2583,163208757248
Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,20247.0,28567.0,2.42,FL,White,179121,163208757249
Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,3116.0,4982.0,2.35,WI,White,66757,163208757250
Eugene,Oregon,33.4,79071.0,84377.0,163448,8896.0,14503.0,2.34,OR,Hispanic or Latino,17356,163208757251
Riverside,California,31.4,160613.0,161810.0,322423,12373.0,69584.0,3.34,CA,American Indian and Alaska Native,5338,163208757252
Carmichael,California,41.0,29281.0,33934.0,63215,4225.0,7378.0,2.39,CA,Black or African-American,4675,163208757253
